node_1	node_2	node_1_type	node_2_type	node_1_name	node_2_name
GO:0051444	GO:0051348	biological_function	biological_function	negative regulation of ubiquitin-protein transferase activity	negative regulation of transferase activity
GO:0051444	GO:0051438	biological_function	biological_function	negative regulation of ubiquitin-protein transferase activity	regulation of ubiquitin-protein transferase activity
GO:0051444	GO:0031397	biological_function	biological_function	negative regulation of ubiquitin-protein transferase activity	negative regulation of protein ubiquitination
GO:0051445	GO:0051321	biological_function	biological_function	regulation of meiotic cell cycle	meiotic cell cycle
GO:0051445	GO:0051726	biological_function	biological_function	regulation of meiotic cell cycle	regulation of cell cycle
GO:0051445	GO:2000241	biological_function	biological_function	regulation of meiotic cell cycle	regulation of reproductive process
GO:2000241	GO:0022414	biological_function	biological_function	regulation of reproductive process	reproductive process
GO:2000241	GO:0050789	biological_function	biological_function	regulation of reproductive process	regulation of biological process
GO:0051447	GO:0051321	biological_function	biological_function	negative regulation of meiotic cell cycle	meiotic cell cycle
GO:0051447	GO:0045786	biological_function	biological_function	negative regulation of meiotic cell cycle	negative regulation of cell cycle
GO:0051447	GO:2000242	biological_function	biological_function	negative regulation of meiotic cell cycle	negative regulation of reproductive process
GO:0051447	GO:0051445	biological_function	biological_function	negative regulation of meiotic cell cycle	regulation of meiotic cell cycle
GO:2000242	GO:0022414	biological_function	biological_function	negative regulation of reproductive process	reproductive process
GO:2000242	GO:2000241	biological_function	biological_function	negative regulation of reproductive process	regulation of reproductive process
GO:2000242	GO:0048519	biological_function	biological_function	negative regulation of reproductive process	negative regulation of biological process
GO:0051450	GO:0008283	biological_function	biological_function	myoblast proliferation	cell proliferation
GO:0051451	GO:0014812	biological_function	biological_function	myoblast migration	muscle cell migration
