DC_ID	DCU_ID
DC000466	DCU00227
DC000467	DCU00030
DC000468	DCU00029
DC000469	DCU00028
DC000470	DCU00027
DC000471	DCU00026
DC000472	DCU00025
DC000473	DCU00024
DC000474	DCU00023
DC000475	DCU00022
DC000476	DCU00344
DC000477	DCU00345
DC000478	DCU00346
DC000479	DCU00347
DC000480	DCU00341
DC000480	DCU00938
DC000480	DCU00940
DC000480	DCU00943
DC000481	DCU00342
DC000482	DCU00343
DC000483	DCU00348
DC000483	DCU00944
DC000483	DCU00948
DC000483	DCU00950
DC000484	DCU00349
DC000485	DCU00350
DC000486	DCU00040
DC000486	DCU00228
DC000486	DCU00229
DC000487	DCU00037
DC000488	DCU00036
DC000489	DCU00039
DC000490	DCU00038
DC000491	DCU00034
DC000492	DCU00033
DC000493	DCU00035
DC000494	DCU00032
DC000495	DCU00956
DC000495	DCU00961
DC000504	DCU00974
DC000509	DCU03886
DC000514	DCU00991
DC000519	DCU01004
DC000522	DCU02364
DC000531	DCU01018
DC000539	DCU03123
DC000543	DCU05232
DC000558	DCU01047
DC000561	DCU01050
DC002605	DCU03973
DC002605	DCU03975
DC002608	DCU03978
DC002614	DCU03985
DC002614	DCU09571
DC002618	DCU03991
DC002634	DCU04008
DC002652	DCU04028
DC002656	DCU04040
DC002656	DCU05690
DC002672	DCU09756
DC002684	DCU04080
DC002686	DCU04083
DC002689	DCU04086
DC002701	DCU08134
DC002701	DCU08135
DC002713	DCU04112
DC002716	DCU04116
DC002741	DCU04145
DC002745	DCU04154
DC002745	DCU04159
DC002749	DCU04166
DC002749	DCU08210
DC002758	DCU04176
DC002758	DCU04801
DC002765	DCU04189
DC002765	DCU08308
DC002772	DCU04199
DC002774	DCU04202
DC002777	DCU04205
DC002827	DCU04260
DC002836	DCU04273
DC002845	DCU04287
DC002846	DCU04290
DC002847	DCU04291
DC002867	DCU04332
DC002876	DCU04348
DC002876	DCU04350
DC002876	DCU04351
DC002878	DCU04360
DC002885	DCU04367
DC002890	DCU04374
DC002891	DCU04376
DC002891	DCU08492
DC002949	DCU04449
DC002951	DCU04452
DC002953	DCU04454
DC002973	DCU04478
DC002973	DCU07611
DC002977	DCU04483
DC002983	DCU04490
DC002985	DCU04492
DC003000	DCU04510
DC003011	DCU04525
DC003030	DCU04557
DC003031	DCU04560
DC003031	DCU04562
DC003038	DCU04572
DC003043	DCU04577
DC003043	DCU04578
DC003043	DCU07193
DC003052	DCU04588
DC003062	DCU04600
DC003066	DCU04605
DC003074	DCU04614
DC003082	DCU04623
DC003089	DCU09612
DC003089	DCU09614
DC003100	DCU04649
DC003100	DCU04650
DC003110	DCU04666
DC003117	DCU04676
DC003117	DCU07975
DC003124	DCU04687
DC003124	DCU06729
DC003129	DCU04694
DC003132	DCU04697
DC003139	DCU04708
DC003148	DCU04719
DC003152	DCU04723
DC003156	DCU04731
DC003176	DCU04753
DC003185	DCU04765
DC003186	DCU07977
DC003186	DCU07983
DC003191	DCU07573
DC003200	DCU04780
DC003211	DCU04794
DC003215	DCU04799
DC003251	DCU04842
DC003252	DCU04843
DC003262	DCU08003
DC003269	DCU04862
DC003276	DCU04874
DC003290	DCU04888
DC003294	DCU04897
DC003295	DCU04898
DC003304	DCU04909
DC003321	DCU06749
DC003324	DCU04931
DC003325	DCU04936
DC003325	DCU04941
DC003325	DCU04942
DC003325	DCU04950
DC003331	DCU04962
DC003335	DCU04968
DC003345	DCU04987
DC003351	DCU04993
DC003362	DCU05004
DC003362	DCU05341
DC003363	DCU05009
DC003363	DCU05010
DC003375	DCU05027
DC003375	DCU06130
DC003376	DCU05030
DC003376	DCU05031
DC003382	DCU05043
DC003385	DCU05047
DC003395	DCU05060
DC003407	DCU05072
DC003418	DCU05085
DC003422	DCU05089
DC003423	DCU07360
DC003425	DCU05105
DC003425	DCU05107
DC003435	DCU05122
DC003440	DCU05129
DC003443	DCU05133
DC003477	DCU05172
DC003492	DCU05195
DC003505	DCU09592
DC003509	DCU05219
DC003509	DCU05220
DC003521	DCU05238
DC003521	DCU07937
DC003521	DCU07938
DC003554	DCU05273
DC003554	DCU05275
DC003554	DCU05278
DC003554	DCU08996
DC003559	DCU05283
DC003566	DCU05291
DC003577	DCU05305
DC003578	DCU05307
DC003584	DCU05313
DC003585	DCU05314
DC003590	DCU05319
DC003607	DCU05344
DC003611	DCU05352
DC003611	DCU05354
DC003611	DCU05356
DC003611	DCU07644
DC003619	DCU05370
DC003645	DCU05404
DC003646	DCU05407
DC003665	DCU05427
DC003675	DCU05438
DC003689	DCU05457
DC003692	DCU05460
DC003697	DCU05465
DC001506	DCU02391
DC001507	DCU09022
DC001518	DCU10128
DC001523	DCU02409
DC001530	DCU02418
DC001536	DCU02424
DC001547	DCU02535
DC001547	DCU03326
DC001551	DCU02465
DC001551	DCU02467
DC001562	DCU02482
DC001567	DCU02492
DC001567	DCU08487
DC001571	DCU02499
DC001572	DCU02500
DC001575	DCU02508
DC001577	DCU02510
DC001577	DCU02511
DC001584	DCU02522
DC001584	DCU08544
DC001606	DCU02546
DC001608	DCU02549
DC001608	DCU02550
DC001608	DCU06919
DC001608	DCU07332
DC001608	DCU07333
DC001608	DCU07341
DC001647	DCU02603
DC001647	DCU02606
DC001647	DCU03898
DC001647	DCU07479
DC001689	DCU02700
DC001695	DCU02706
DC001696	DCU02707
DC001696	DCU02715
DC001696	DCU02717
DC001696	DCU02722
DC001709	DCU03063
DC001710	DCU02739
DC001710	DCU02740
DC001728	DCU02771
DC001735	DCU02800
DC001735	DCU02801
DC001740	DCU02806
DC001750	DCU02821
DC001777	DCU06359
DC001784	DCU02860
DC001786	DCU02862
DC001802	DCU02883
DC001808	DCU02889
DC001814	DCU02896
DC001830	DCU02915
DC001841	DCU02930
DC001856	DCU02950
DC001863	DCU02972
DC001885	DCU02998
DC001893	DCU03006
DC001893	DCU03007
DC001893	DCU03008
DC001893	DCU07261
DC001893	DCU07262
DC001893	DCU09196
DC001893	DCU09198
DC001901	DCU03018
DC001904	DCU03021
DC001908	DCU03041
DC001908	DCU05158
DC001910	DCU03043
DC001928	DCU03068
DC001932	DCU03073
DC001949	DCU09620
DC001950	DCU03790
DC001969	DCU03113
DC001974	DCU03121
DC001975	DCU03122
DC001975	DCU09495
DC001982	DCU03130
DC001986	DCU03137
DC001998	DCU03150
DC002016	DCU03170
DC002017	DCU03171
DC002034	DCU03192
DC002038	DCU03198
DC002043	DCU03203
DC002044	DCU03204
DC002049	DCU03212
DC002049	DCU03213
DC002049	DCU03214
DC002049	DCU03219
DC002056	DCU03477
DC002058	DCU03230
DC002069	DCU03245
DC002070	DCU03247
DC002073	DCU03252
DC002079	DCU04308
DC002081	DCU03265
DC002081	DCU03272
DC002081	DCU03273
DC002088	DCU03313
DC002091	DCU03288
DC002091	DCU05189
DC002096	DCU03293
DC002104	DCU03302
DC002122	DCU03324
DC002126	DCU03330
DC002130	DCU03336
DC002140	DCU04002
DC002141	DCU03349
DC002141	DCU05681
DC002150	DCU03363
DC002150	DCU03364
DC002154	DCU03370
DC002155	DCU03371
DC002178	DCU03416
DC002178	DCU06695
DC002181	DCU03421
DC002186	DCU03427
DC002196	DCU03438
DC002202	DCU03444
DC002205	DCU03449
DC002205	DCU04565
DC002209	DCU03453
DC002220	DCU03469
DC002238	DCU03495
DC002238	DCU03496
DC002240	DCU03500
DC002248	DCU03509
DC002254	DCU09048
DC002264	DCU03526
DC002270	DCU03532
DC002275	DCU03539
DC002282	DCU03546
DC002327	DCU03596
DC002342	DCU03617
DC002364	DCU03656
DC002364	DCU09049
DC002367	DCU03660
DC002381	DCU03677
DC002383	DCU03679
DC002405	DCU03767
DC002411	DCU03712
DC002413	DCU03714
DC002423	DCU03724
DC002436	DCU03738
DC002437	DCU03739
DC002449	DCU03765
DC002454	DCU03770
DC002454	DCU07107
DC002470	DCU03795
DC002484	DCU03820
DC002485	DCU03821
DC002493	DCU04660
DC002494	DCU03830
DC002499	DCU03836
DC002501	DCU08827
DC002503	DCU03840
DC002505	DCU03844
DC002507	DCU03846
DC002507	DCU09142
DC002507	DCU09146
DC002507	DCU09147
DC002507	DCU09152
DC002507	DCU09163
DC002507	DCU09164
DC002507	DCU09166
DC002507	DCU09168
DC002507	DCU09170
DC002516	DCU03861
DC002520	DCU06857
DC002521	DCU03868
DC002527	DCU03879
DC002555	DCU03910
DC002605	DCU03970
DC002605	DCU03972
DC003704	DCU05473
DC003707	DCU05477
DC003717	DCU05489
DC003718	DCU05490
DC003734	DCU05513
DC003737	DCU05517
DC003746	DCU05530
DC003750	DCU05537
DC003752	DCU05539
DC003764	DCU05553
DC003771	DCU05561
DC003773	DCU05563
DC003841	DCU05637
DC003851	DCU05656
DC003855	DCU05660
DC003875	DCU05683
DC003896	DCU05712
DC003897	DCU05713
DC003898	DCU05714
DC003926	DCU05752
DC003936	DCU05252
DC003936	DCU05766
DC003937	DCU05770
DC003938	DCU05773
DC003954	DCU05797
DC003957	DCU05801
DC003959	DCU05805
DC003959	DCU08590
DC003961	DCU05808
DC003973	DCU05827
DC003991	DCU05851
DC003991	DCU05852
DC003997	DCU05858
DC004000	DCU05861
DC004002	DCU05864
DC004005	DCU05867
DC004024	DCU05890
DC004025	DCU05892
DC004030	DCU05899
DC004047	DCU05918
DC004053	DCU05926
DC004057	DCU05934
DC004060	DCU05940
DC004060	DCU05942
DC004060	DCU09556
DC004060	DCU09557
DC004079	DCU05969
DC004079	DCU08206
DC004097	DCU05995
DC004097	DCU06181
DC004097	DCU06183
DC004097	DCU06184
DC004097	DCU06186
DC004100	DCU05999
DC004109	DCU06011
DC004109	DCU06012
DC004109	DCU06013
DC004112	DCU06016
DC004136	DCU06044
DC004137	DCU06045
DC004137	DCU06046
DC004137	DCU07885
DC004137	DCU07886
DC004149	DCU06058
DC004156	DCU06073
DC004164	DCU06084
DC004166	DCU06087
DC004170	DCU06094
DC004178	DCU06105
DC004187	DCU06117
DC004193	DCU08277
DC004198	DCU06128
DC004205	DCU06136
DC004250	DCU06210
DC004263	DCU06223
DC004288	DCU06252
DC004289	DCU06254
DC004307	DCU06280
DC004307	DCU08841
DC004309	DCU06282
DC004310	DCU06283
DC004318	DCU06293
DC004327	DCU06302
DC004329	DCU06305
DC004345	DCU02357
DC004345	DCU06323
DC004362	DCU06342
DC004366	DCU06346
DC004379	DCU06361
DC004379	DCU06362
DC004397	DCU06381
DC004406	DCU06392
DC004425	DCU06422
DC004425	DCU06423
DC004425	DCU07868
DC004428	DCU06430
DC004458	DCU06470
DC004459	DCU06473
DC004459	DCU06474
DC004469	DCU06492
DC004483	DCU06507
DC004490	DCU06514
DC004523	DCU06563
DC004527	DCU06567
DC004534	DCU06580
DC004569	DCU06638
DC004575	DCU06645
DC004578	DCU06649
DC004590	DCU06687
DC004590	DCU06690
DC004590	DCU06691
DC004598	DCU06702
DC004601	DCU06705
DC004617	DCU06722
DC004618	DCU06723
DC004618	DCU06724
DC004637	DCU06746
DC004637	DCU09701
DC004658	DCU06776
DC004659	DCU06779
DC004661	DCU06781
DC004661	DCU09362
DC004679	DCU06808
DC004690	DCU06830
DC004694	DCU06834
DC004700	DCU07008
DC004719	DCU06864
DC004724	DCU06871
DC004727	DCU06874
DC004736	DCU06886
DC004751	DCU06902
DC004769	DCU07502
DC004818	DCU06991
DC004823	DCU06998
DC004834	DCU07020
DC004843	DCU07030
DC004843	DCU09409
DC004844	DCU07032
DC004857	DCU07048
DC004864	DCU07059
DC004872	DCU07070
DC004873	DCU07071
DC004887	DCU07094
DC004890	DCU07098
